ID,START_TIME,COMPLETION_TIME,AGE_RANGE,"GENDER
","VIDEO_USEFUL
","VIDEO_DURATION_SUFFICIENT
","LEARNT_NEW_EXERCISE
","UNDERSTAND_IMPT_FIT
","LEARNT_BASIC_EX
","WOULD_REC_VIDEO
","USEFULNESS_EXPERT_VID
","ANY_OTHER_VIDEOS
"
1,8/27/22 11:59:01,8/27/22 12:00:38,50 - 59,Male ,5,4,4,4,4,4,4,1
2,8/29/22 8:03:41,8/29/22 8:04:32,Below 50,Male ,5,4,5,4,5,4,4,3
3,8/29/22 9:52:12,8/29/22 11:38:06,Below 50,Female ,5,2,5,5,5,5,5,1
4,8/29/22 13:02:08,8/29/22 13:02:56,Below 50,Female ,5,5,5,5,5,5,5,1
5,8/29/22 13:16:15,8/29/22 13:17:12,Below 50,Male ,5,4,5,5,5,5,4,1
6,8/29/22 17:30:10,8/29/22 17:31:35,Below 50,Female ,5,3,4,5,5,5,4,2
7,8/31/22 20:08:24,8/31/22 20:11:01,50 - 59,Female ,5,5,5,5,5,5,5,1
8,8/31/22 20:08:26,8/31/22 20:19:47,50 - 59,Female ,5,5,5,5,5,5,5,1
9,8/31/22 21:43:57,8/31/22 21:48:54,50 - 59,Male ,3,3,4,5,4,4,4,1
10,8/31/22 21:42:12,8/31/22 21:49:36,50 - 59,Female ,4,4,4,4,4,3,4,2
11,8/31/22 22:47:27,8/31/22 22:47:40,50 - 59,Female ,5,5,5,5,5,5,5,3
12,09-01-22 7:30,09-01-22 7:30,60 - 69,Female ,5,5,5,5,5,5,5,3
13,09-01-22 8:19,09-01-22 8:34,50 - 59,Male ,5,4,4,5,4,5,4,3
14,09-01-22 8:45,09-01-22 8:46,60 - 69,Female ,5,4,5,5,5,5,5,1
15,09-01-22 8:49,09-01-22 8:51,Below 50,Male ,4,4,4,4,4,4,4,2
16,09-01-22 8:52,09-01-22 8:56,60 - 69,Male ,5,5,5,5,5,5,5,1
17,09-01-22 9:01,09-01-22 9:02,50 - 59,Female ,4,3,4,4,4,3,3,3
18,09-01-22 9:15,09-01-22 9:16,Below 50,Male ,4,3,5,5,5,4,5,1
19,09-01-22 9:23,09-01-22 9:29,50 - 59,Male ,4,3,4,4,4,3,3,1
20,09-01-22 9:58,09-01-22 10:00,50 - 59,Female ,5,5,5,4,4,5,4,1
21,09-01-22 11:00,09-01-22 11:02,50 - 59,Male ,5,4,5,5,5,4,5,3
22,09-01-22 11:51,09-01-22 11:53,Below 50,Female ,4,2,4,5,4,4,3,2
23,09-01-22 12:06,09-01-22 12:07,Below 50,Female ,5,5,5,5,5,5,5,2
24,09-01-22 12:50,09-01-22 12:52,50 - 59,Male ,4,4,5,5,4,5,5,2
25,09-01-22 13:02,09-01-22 13:03,50 - 59,Male ,4,3,4,4,4,4,4,3
26,09-01-22 13:28,09-01-22 13:30,50 - 59,Female ,4,3,5,5,5,4,4,1
27,09-01-22 13:53,09-01-22 13:54,Below 50,Male ,4,3,4,5,4,3,4,1
28,09-01-22 15:15,09-01-22 15:16,50 - 59,Female ,5,4,4,4,4,4,5,1
29,09-01-22 15:41,09-01-22 15:42,60 - 69,Female ,4,4,4,4,4,4,4,1
30,09-01-22 18:12,09-01-22 18:13,50 - 59,Female ,5,5,5,5,5,5,5,1
31,09-01-22 19:12,09-01-22 19:13,50 - 59,Female ,4,3,4,4,4,4,4,1
32,09-01-22 19:15,09-01-22 19:17,50 - 59,Female ,5,4,4,5,5,4,4,2
33,09-01-22 19:19,09-01-22 19:20,60 - 69,Female ,5,3,4,4,4,4,4,3
34,09-01-22 19:23,09-01-22 19:25,60 - 69,Female ,4,4,4,4,4,4,4,1
35,09-01-22 20:40,09-01-22 20:43,50 - 59,Female ,4,4,5,5,4,4,4,1
36,09-02-22 2:01,09-02-22 2:03,60 - 69,Male ,4,4,4,4,4,3,4,1
37,09-02-22 9:54,09-02-22 9:56,70 - 79,Female ,5,5,5,5,5,5,5,1
38,09-02-22 10:14,09-02-22 10:17,60 - 69,Female ,4,4,4,4,4,4,4,1
39,09-02-22 11:23,09-02-22 11:26,50 - 59,Female ,5,4,4,4,5,4,5,2
40,09-03-22 19:37,09-03-22 19:38,60 - 69,Female ,5,5,5,5,5,5,5,1
